Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,15500,pizza,106343,211763,1.8725626170828812e-05,0.0323033332824707,0.012999176979064941,1.8653123378753662,0.032755136489868164,0.0034998655319213867
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,16000,pizza,112957,224833,1.7621286046177992e-05,0.02300286293029785,0.008642911911010742,1.2020288705825806,0.019499778747558594,0.0024995803833007812
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,16500,steak_house,119749,238126,1.6606061911831256e-05,0.2925971746444702,0.08677792549133301,1.1530988216400146,0.5126076936721802,0.018333077430725098
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,17000,steak_house,125148,248761,1.5883197538299493e-05,0.7530601819356283,0.21382602055867514,2.3821589946746826,0.757248322168986,0.04320295651753744
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,17500,steak_house,130623,259482,1.5207970227161132e-05,0.8533692359924316,0.2627105116844177,2.6411685943603516,0.8323656916618347,0.03912162780761719
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,18000,steak_house,135749,269609,1.4630673100460715e-05,0.9691076278686523,0.23535877466201782,2.7544424533843994,0.8711247444152832,0.039646029472351074
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,18500,steak_house,140155,278295,1.4167437677007923e-05,1.0171573162078857,0.22615516185760498,2.8586172461509705,0.9459308385848999,0.040529072284698486
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,19000,italian,144763,287423,1.3715428132231544e-05,0.9493195215861002,0.2615540822347005,3.1836555004119873,1.0063961744308472,0.03501466910044352
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,19500,italian,149119,296003,1.33116858481578e-05,0.9257872502009074,0.25110681851704914,3.3208223978678384,0.7033619085947672,0.01926290988922119
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,20000,italian,157538,312839,1.2605294320495654e-05,1.087132493654887,0.2623176574707031,3.7787168820699057,1.0819064776102703,0.03517003854115804
